case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
NET-001,PC1 cannot reach Server1 in VLAN 30,PC1 on Fa0/1 (VLAN 10); Gateway on Router Sub-interface Gi0/0.10,GigabitEthernet0/0.10 is administratively down line protocol is down,Sub-interface administratively down,Layer 3,Inter-VLAN Routing,High
NET-002,PC2 assigned 169.254.x.x APIPA address,PC2 connected to Switch SW1 Port Fa0/2; DHCP Server located on Router R1,ip dhcp pool LAN_POOL; total addresses 10; leased 10; zero available,DHCP Scope Pool Exhaustion,Layer 7,DHCP,High
NET-003,PC1 can ping 8.8.8.8 but cannot open google.com,PC1 configured with static IP; DNS Server set to 192.168.1.5,no ip domain-lookup; ip name-server 192.168.1.5 not active,DNS service disabled on client subnet gateway,Layer 7,DNS,Medium
NET-004,R1 and R2 fail to form OSPF adjacency,R1 Gi0/0 (10.0.0.1/24) connected to R2 Gi0/0 (10.0.0.2/24),R1: ip ospf hello-interval 10; R2: ip ospf hello-interval 20,OSPF Hello Timer Mismatch,Layer 3,OSPF,High
NET-005,Web server port 80 unreachable from Sales subnet,Sales PC on 192.168.10.0/24; Web Server on 10.0.0.10/24,access-list 101 deny tcp 192.168.10.0 0.0.0.255 host 10.0.0.10 eq 80,Extended ACL blocking HTTP traffic,Layer 4,ACL,Medium
NET-006,Internal PCs cannot access external internet,Router R1 WAN interface connected to ISP; LAN on 192.168.1.0/24,ip nat inside source list 1 interface Gi0/1 (missing overload keyword),NAT Overload/PAT keyword missing,Layer 3,NAT,High
NET-007,Guest Wi-Fi users can access internal private servers,Guest AP connected to Switch Fa0/12 tagged VLAN 50,Extended IP access list GUEST_ACL: 10 permit ip 192.168.50.0 0.0.0.255 any,Overly permissive ACL on Guest VLAN,Layer 3/4,Wireless/ACL,High
NET-008,Trunk link between SW1 and SW2 failing to carry VLAN 20 traffic,SW1 Fa0/24 connected to SW2 Fa0/24,Switchport trunk allowed vlan 10 30 40 (VLAN 20 missing from allowed list),VLAN pruned/missing from trunk allowed list,Layer 2,VLAN Trunking,Medium
NET-009,PC3 gets correct IP but cannot ping default gateway 192.168.1.1,PC3 IP 192.168.1.50/24; Gateway set to 192.168.1.254 on PC,IP configuration shows Default Gateway 192.168.1.254 on Host,Host Default Gateway IP Misconfiguration,Layer 3,Addressing,High
NET-010,Switch SW1 management interface unreachable via SSH,SW1 VLAN 1 interface IP 192.168.1.2/24,interface Vlan1; ip address 192.168.1.2 255.255.255.0; shutdown,Management SVI interface in shutdown state,Layer 2,Switching,Low
