case_id,expected_fault,ai_root_cause,ai_confidence,human_verdict,severity,osi_layer,concept_tag,reviewer_notes
NET-001,Sub-interface administratively down,"Router sub-interface Gi0/0.10 is administratively shut down, removing the VLAN 10 default gateway",High,Accepted,High,Layer 3,Inter-VLAN Routing,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-002,DHCP Scope Pool Exhaustion,"DHCP pool LAN_POOL is exhausted (10/10 leased), so new clients fall back to APIPA",High,Accepted,High,Layer 7,DHCP,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-003,DNS service disabled on client subnet gateway,DNS lookups fail because 'ip name-server 192.168.1.5' is present but domain lookup / DNS service is not active on the client's gateway,Medium,Rejected,Medium,Layer 7,DNS,AI's direction (DNS-related) was plausible but the evidence given ('not active') is ambiguous - it's unclear if this refers to the domain-lookup config or the DNS server process itself. Reviewer rejected the diagnosis pending a clarifying show command rather than accepting a guess.
NET-004,OSPF Hello Timer Mismatch,"OSPF hello-interval mismatch (R1=10, R2=20) prevents adjacency",High,Accepted,High,Layer 3,OSPF,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-005,Extended ACL blocking HTTP traffic,Extended ACL 101 has a deny statement for the Sales subnet to the web server ahead of/instead of a permit for tcp port 80,High,Accepted,Medium,Layer 4,ACL,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-006,NAT Overload/PAT keyword missing,"NAT source list is applied without the 'overload' keyword, so PAT is not enabled and only one internal host can use the public IP at a time",High,Accepted,High,Layer 3,NAT,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-007,Overly permissive ACL on Guest VLAN,"GUEST_ACL permits all IP traffic from the guest subnet to any destination, allowing guest Wi-Fi to reach internal private servers",High,Accepted,High,Layer 3/4,Wireless/ACL,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-008,VLAN pruned/missing from trunk allowed list,VLAN 20 is missing from the trunk's allowed VLAN list between SW1 and SW2,High,Accepted,Medium,Layer 2,VLAN Trunking,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-009,Host Default Gateway IP Misconfiguration,Likely a DNS resolution issue preventing gateway reachability check,Low,Edited,High,Layer 3,Addressing,AI wrongly framed this as a DNS issue with Low confidence. The real fault is a simple gateway IP typo (192.168.1.254 vs 192.168.1.1) that is fully visible in the topology note. Reviewer corrected root cause and raised confidence to High.
NET-010,Management SVI interface in shutdown state,"Management SVI (VLAN 1 interface) on SW1 is administratively shut down, blocking SSH access",High,Accepted,Low,Layer 2,Switching,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-011,Inter-switch link configured as access instead of trunk,"The inter-switch link between SW1 and SW2 is configured as access mode instead of trunk, blocking VLAN 10 traffic between switches",High,Accepted,High,Layer 2,VLAN Trunking,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-012,Passive interface enabled on active OSPF link,"Serial0/1/0 is configured as a passive-interface under OSPF while it is meant to be an active routing link to R1, so routes are not being exchanged",High,Accepted,High,Layer 3,OSPF,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-013,Switch port assigned to wrong access VLAN,"Trunk link between the access switch and distribution switch is likely misconfigured, blocking VLAN 40 traffic",Medium,Edited,Medium,Layer 2,VLAN,AI defaulted to a generic 'trunk misconfiguration' guess and cited no matching evidence line. The show output clearly lists 'switchport access vlan 14' vs the expected VLAN 40 for that port. Reviewer rejected the trunk theory and pointed the AI at the specific line.
NET-014,Missing IP Helper-Address for DHCP Relay,"Branch router R2's LAN interface is missing 'ip helper-address', so DHCP Discover broadcasts are not relayed to the central DHCP server",High,Accepted,High,Layer 7,DHCP,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-015,Invalid static route next-hop IP address,"Static route's next-hop IP address (10.0.0.5) is not a valid/reachable address, causing intermittent packet loss for 172.16.0.0/16 traffic",Medium,Edited,High,Layer 3,Static Routing,"Root cause was correct, but AI under-stated confidence as Medium. Evidence explicitly states the next-hop is unreachable, which is a checkable, high-confidence fact. Reviewer edited confidence to High."
NET-016,ACL missing FTP control port 21 permit rule,"ACL 100 permits FTP data connections but is missing the control-channel permit for TCP port 21, so FTP sessions time out",High,Accepted,Medium,Layer 4,ACL,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-017,NAT interface direction missing on internal interface,"Static NAT mapping is defined but Gi0/0 is missing the 'ip nat inside' designation, so translation never triggers",High,Accepted,High,Layer 3,NAT,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-018,RADIUS Shared Secret Mismatch,"RADIUS shared secret configured on the WLC/router does not match the RADIUS server's configured secret, so authentication requests are rejected",High,Accepted,High,Layer 7,Wireless,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-019,Native VLAN Mismatch on trunk link,Native VLAN mismatch between SW1 (VLAN 10) and SW2 (VLAN 99) on the trunk link generates warnings and can leak untagged traffic,High,Edited,Low,Layer 2,VLAN Trunking,"Root cause was correct, but AI's High-confidence framing read as more urgent than warranted for what the case dataset marks as Low severity. Reviewer kept the technical diagnosis but edited the write-up to reflect it as a low-urgency hygiene issue, not an active outage."
NET-020,Default Gateway outside client subnet range,"The configured default gateway (10.1.1.30) falls outside the client's /28 subnet (10.1.1.48-10.1.1.63 or similar), so off-subnet traffic cannot be routed",High,Accepted,High,Layer 3,Subnetting,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-021,OSPF redistribution missing subnets flag,OSPF process ID mismatch between routers is preventing route redistribution from taking effect,Medium,Edited,Medium,Layer 3,OSPF,"AI guessed 'OSPF process ID mismatch', which isn't supported by any evidence in the case (only one process ID is shown). The actual issue is the missing 'subnets' keyword on the redistribute command. Reviewer corrected the root cause."
NET-022,ACL blocking SSL/TLS port 443,"Outbound ACL OUTBOUND only permits TCP port 80, so HTTPS (443) traffic is implicitly denied",High,Accepted,Medium,Layer 4,ACL,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-023,Duplicate IP Address Assignment,"Host A and Host B are statically configured with the same IP address, causing a duplicate address conflict on the LAN",High,Accepted,High,Layer 3,Addressing,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-024,VTP Domain Name Mismatch ,VTP password mismatch between SW1 and SW2 is blocking VTP updates,Medium,Edited,Medium,Layer 2,VTP,"AI invented a 'VTP password mismatch' even though no password is mentioned anywhere in the evidence - this is a hallucinated detail. The real, evidenced fault is a case-sensitive VTP domain name mismatch (CORP vs corp). Reviewer rejected the hallucinated detail and corrected the diagnosis."
NET-025,Uplink trunk port not configured as DAI trusted,"The uplink trunk port is not marked as a trusted interface for Dynamic ARP Inspection, so legitimate ARP replies from upstream devices are being dropped",High,Accepted,High,Layer 2,Security/DAI,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-026,Port security violation limit exceeded,"Port security on Fa0/10 has reached its maximum MAC address limit (1) and a second device triggered a security violation, putting the port into err-disabled state",High,Accepted,Medium,Layer 2,Port Security,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-027,HSRP Timer Mismatch between peers,"R2's HSRP priority (100) is too close to R1's (110), causing flapping between Active and Standby",Medium,Edited,Medium,Layer 3,HSRP,"AI attributed the flapping to 'priority too close', but Cisco HSRP does not flap on priority alone once elected. The real driver, visible in the evidence, is the mismatched hello timers (3s vs 10s) causing false failure detection. Reviewer corrected the root cause."
NET-028,Missing 802.1Q encapsulation on sub-interface,"Sub-interface Gi0/0.20 is missing the 'encapsulation dot1Q 20' statement, so it cannot process tagged VLAN 20 frames",High,Accepted,High,Layer 2/3,Inter-VLAN Routing,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-029,IPv6 Router Advertisements (RA) suppressed,"IPv6 Router Advertisements are suppressed on Gi0/0, so SLAAC clients never receive prefix information needed for address autoconfiguration",High,Accepted,Medium,Layer 3,IPv6,AI diagnosis matched the evidence and expected fault; accepted as-is.
NET-030,CDP disabled globally on device,"CDP is disabled globally on the device, so no neighbor information is being advertised or learned",High,Accepted,Low,Layer 2,CDP,AI diagnosis matched the evidence and expected fault; accepted as-is.
